id	type	title	area	status	role	primary_statement
set_algebra	primitive	Algebra of sets	logic	reviewed	foundation	unions, intersections, complements, De Morgan, indexed families (from math-sets)
preimage_algebra	primitive	Preimage algebra	logic	reviewed	foundation	f^-1 commutes with union, intersection, complement (from math-sets)
countable_set	primitive	Countable set	logic	reviewed	foundation	injects into N; countable unions of countable sets are countable (from math-sets)
real_field	primitive	R as a complete ordered field	analysis	reviewed	foundation	the least-upper-bound property and its consequences (from math-real-analysis)
sequence_limit	primitive	Convergence of a real sequence	analysis	reviewed	foundation	epsilon-N convergence, algebra of limits, squeeze (from math-real-analysis)
limsup_liminf	primitive	limsup and liminf	analysis	reviewed	foundation	limsup A_n = intersection of tails; for sets, {omega in infinitely many A_n}
series_convergence	primitive	Convergence of a real series	analysis	reviewed	foundation	partial sums, comparison, absolute convergence (from math-real-analysis)
convex_function	primitive	Convex function	analysis	reviewed	foundation	f(tx+(1-t)y) <= t f(x)+(1-t)f(y); supporting line at every interior point
abstract_integral	bridge	Lebesgue integral against a measure	measure	reviewed	foundation	integral of f dmu for measurable f >= 0, then integrable f (CITED, not built)
monotone_convergence_theorem	bridge	Monotone convergence theorem	measure	reviewed	foundation	0<=f_n up f  =>  integral f_n up integral f (CITED)
dominated_convergence_theorem	bridge	Dominated convergence theorem	measure	reviewed	foundation	f_n -> f pointwise, |f_n|<=g integrable  =>  integral f_n -> integral f (CITED)
fatou_lemma	bridge	Fatou's lemma	measure	reviewed	foundation	integral of liminf f_n <= liminf integral f_n for f_n >= 0 (CITED)
fubini_tonelli	bridge	Fubini-Tonelli theorem	measure	reviewed	foundation	iterated integrals equal the product integral (nonneg, or integrable) (CITED)
radon_nikodym	bridge	Radon-Nikodym theorem	measure	reviewed	foundation	nu << mu, sigma-finite  =>  nu has a density dnu/dmu w.r.t. mu (CITED)
sigma_algebra	definition	Sigma-algebra	measure	reviewed	foundation	a family of subsets closed under complement and countable union, containing Omega
generated_sigma_algebra	construction	Generated sigma-algebra	measure	reviewed	support	sigma(C) is the smallest sigma-algebra containing the collection C
borel_sigma_algebra	definition	Borel sigma-algebra on R	measure	reviewed	core	B(R) = sigma(open intervals); the events a real random variable can produce
measurable_space	structure	Measurable space	measure	reviewed	foundation	a pair (Omega, F) with F a sigma-algebra on Omega
