id	type	title	domain	status	knowledge_level	primary_formula
SI_units	convention	SI unit system	cross_domain	reviewed	foundation	-
real_numbers	primitive	Real numbers	math	reviewed	foundation	-
function	math_definition	Function	math	reviewed	foundation	-
derivative	math_definition	Derivative	math	reviewed	foundation	df/dx
partial_derivative	math_definition	Partial derivative	math	reviewed	foundation	(df/dx)_y
integral	math_definition	Definite / line integral	math	reviewed	foundation	int f dx
exact_differential	math_definition	Exact differential	math	reviewed	foundation	dz = M dx + N dy, M_y = N_x
logarithm	math_definition	Natural logarithm	math	reviewed	foundation	ln x
dimension_analysis	diagnostic	Dimensional consistency	cross_domain	reviewed	foundation	[LHS]=[RHS]
mass	primitive	Mass	cross_domain	reviewed	foundation	-
length	primitive	Length	cross_domain	reviewed	foundation	-
time	primitive	Time	cross_domain	reviewed	foundation	-
energy	physical_definition	Energy	cross_domain	reviewed	foundation	[E] = M L^2 T^-2
energy_conservation	assumption	Conservation of energy	cross_domain	reviewed	foundation	E_total = const
extensive_intensive	convention	Extensive vs intensive variables	thermo	reviewed	foundation	-
work_sign_convention	convention	First-law sign convention	thermo	reviewed	foundation	dU = dQ - dW
gas_constant	convention	Universal gas constant R	thermo	reviewed	foundation	R = 8.314 J/(mol K)
thermodynamic_system	physical_definition	System, surroundings, boundary	thermo	reviewed	foundation	-
state_variable	physical_definition	State variable	thermo	reviewed	foundation	-
thermodynamic_equilibrium	physical_definition	Thermodynamic equilibrium	thermo	reviewed	foundation	-
state_function	physical_definition	State function vs path function	thermo	reviewed	foundation	cyclic int dX = 0
process	physical_definition	Thermodynamic process	thermo	reviewed	foundation	-
quasistatic	assumption	Quasi-static process	thermo	reviewed	foundation	-
reversible	assumption	Reversible process	thermo	reviewed	foundation	dS_univ = 0
irreversible	regime_limit	Irreversible process	thermo	reviewed	foundation	dS_univ > 0
closed_system	assumption	Closed system	thermo	reviewed	foundation	dn = 0
isolated_system	assumption	Isolated system	thermo	reviewed	foundation	dQ = dW = 0
pressure	primitive	Pressure	thermo	reviewed	foundation	[P] = M L^-1 T^-2
volume	physical_definition	Volume	thermo	reviewed	foundation	[V] = L^3
amount_of_substance	physical_definition	Amount of substance	thermo	reviewed	foundation	n (mol)
thermal_equilibrium	physical_definition	Thermal equilibrium	thermo	reviewed	foundation	-
zeroth_law	principle_law	Zeroth law of thermodynamics	thermo	reviewed	core	A~C and B~C => A~B
temperature	physical_definition	Empirical temperature	thermo	reviewed	core	T
ideal_gas	assumption	Ideal-gas working fluid	thermo	reviewed	foundation	-
ideal_gas_law	constitutive_relation	Ideal-gas equation of state	thermo	reviewed	core	P V = n R T
internal_energy	physical_definition	Internal energy	thermo	reviewed	core	U (state function)
work_thermodynamic	physical_definition	Thermodynamic (P dV) work	thermo	reviewed	core	dW = P dV
first_law_thermodynamics	principle_law	First law of thermodynamics	thermo	reviewed	core	dU = dQ - dW
heat	physical_definition	Heat	thermo	reviewed	core	dQ = dU + dW
isothermal_process	physical_definition	Isothermal process	thermo	reviewed	core	T = const
isobaric_process	physical_definition	Isobaric process	thermo	reviewed	core	P = const
