id	type	title	area	status	role	primary_statement
set	primitive	Set	foundations	active	foundation	-
cartesian_product	definition	Cartesian product	foundations	reviewed	foundation	X x Y = { (x,y) : x in X, y in Y }
relation	definition	Binary relation	foundations	reviewed	foundation	a subset of X x X
function	definition	Function	foundations	reviewed	foundation	a relation that is single-valued and total
injection	definition	Injection	foundations	reviewed	support	f(x)=f(y) implies x=y
surjection	definition	Surjection	foundations	reviewed	support	every y has a preimage
bijection	definition	Bijection	foundations	reviewed	support	injective and surjective
composition	definition	Composition of functions	foundations	reviewed	support	(g o f)(x) = g(f(x))
inverse_function	definition	Inverse function	foundations	reviewed	support	f o f^{-1} = id and f^{-1} o f = id
equivalence_relation	definition	Equivalence relation	foundations	reviewed	foundation	reflexive, symmetric, transitive
equivalence_class	definition	Equivalence class	foundations	reviewed	foundation	[x] = { y : y ~ x }
partition_equiv	proposition	Partitions and equivalence relations	foundations	reviewed	support	equivalence relations correspond bijectively to partitions
quotient_set	construction	Quotient set	foundations	reviewed	core	X/~ is the set of equivalence classes
well_defined_on_quotient	principle_law	Well-definedness on a quotient	foundations	reviewed	core	[x] -> [h(x)] is a function iff x~x' implies h(x)~h(x')
axiom_of_choice	axiom	Axiom of choice	foundations	active	foundation	every family of nonempty sets has a choice function
countable_choice	axiom	Axiom of countable choice	foundations	active	foundation	a countable family of nonempty sets has a choice function
peano_axioms	axiom	Peano axioms	naturals	active	foundation	0 in N; S injective; 0 not a successor; induction
natural_number	structure	The natural numbers	naturals	reviewed	foundation	a system (N,0,S) satisfying the Peano axioms
induction_principle	principle_law	Induction	naturals	reviewed	core	X contains 0 and is S-closed implies X = N
recursion_theorem	theorem	Recursion theorem	naturals	reviewed	headline	unique f with f(0)=a and f(S n)=g(n,f n)
strong_induction	proposition	Strong induction	naturals	reviewed	support	if P holds at n whenever it holds below n then P holds everywhere
well_ordering_principle	proposition	Well-ordering of N	naturals	reviewed	core	every nonempty subset of N has a least element
nat_addition	definition	Addition on N	naturals	reviewed	core	a+0=a ; a+S(b)=S(a+b)
