id	type	title	domain	status	knowledge_level	primary_formula
electric_charge	primitive	Electric charge	electrical	draft	foundation	—
elementary_charge	reference_data	Elementary charge e	electrical	draft	foundation	e = 1.602176634e-19 C
electric_current	primitive	Electric current	electrical	draft	foundation	I = dQ/dt
electric_potential	primitive	Electric potential difference (voltage)	electrical	draft	foundation	V = W / Q
electrical_work	definition	Electrical work	electrical	draft	foundation	W = Q V
electrical_power	definition	Electrical power	electrical	draft	foundation	P = I V
resistance	primitive	Electrical resistance	electrical	draft	support	R = V / I
ohms_law	empirical_law	Ohm's law	electrical	draft	foundation	V = I R
avogadro_constant	bridge_imported	Avogadro constant N_A (imported)	electrical	draft	support	N_A = 6.02214076e23 mol^-1
amount_of_substance	bridge_imported	Amount of substance (imported)	imports	draft	foundation	n (mol)
molar_mass	bridge_imported	Molar mass (imported)	imports	draft	foundation	M = m / n
mole_ratio	bridge_imported	Mole ratio (imported)	imports	draft	foundation	n_B = n_A (nu_B / nu_A)
molarity	bridge_imported	Molarity (imported)	imports	draft	foundation	c = n / V
standard_state	bridge_imported	Standard state (imported)	imports	draft	support	P0 = 1 bar, 1 mol/L
dilute_ideal_solution	assumption	Dilute ideal solution (imported assumption)	imports	draft	foundation	activity ~ concentration
ideal_gas_law	bridge_imported	Ideal gas law (imported)	imports	draft	support	P V = n R T
molar_volume	bridge_imported	Molar volume of an ideal gas (imported)	imports	draft	support	V_m = R T / P
gas_constant	reference_data	Molar gas constant R	imports	draft	support	R = 8.314462618 J/(mol K)
oxidation_reduction	bridge_imported	Oxidation and reduction (imported)	imports	draft	foundation	oxidation = loss of electrons
oxidation_number_rules	bridge_imported	Oxidation-number rules (imported)	imports	draft	support	sum = species charge
oxidizing_reducing_agent	bridge_imported	Oxidizing and reducing agent (imported)	imports	draft	support	—
half_reaction	bridge_imported	Half-reaction (imported)	imports	draft	foundation	electrons explicit, mass + charge balanced
balancing_redox_half_reactions	bridge_imported	Balancing redox by half-reactions (imported)	imports	draft	support	electrons lost = electrons gained
gibbs_free_energy	bridge_imported	Gibbs free energy (imported)	imports	draft	foundation	G = H - T S
entropy	bridge_imported	Entropy (imported)	imports	draft	support	S (J/K)
reaction_quotient	bridge_imported	Reaction quotient Q (imported)	imports	draft	support	Q = product form, any composition
equilibrium_constant	bridge_imported	Equilibrium constant K (imported)	imports	draft	support	K = product form at equilibrium
reaction_isotherm	bridge_imported	Reaction isotherm dG0 = -RT ln K (imported)	imports	draft	foundation	dG0 = - R T ln K
faraday_constant	definition	Faraday constant F	faraday	draft	foundation	F = N_A e = 96485 C/mol
charge_from_current	derived_formula	Charge from current over time	faraday	draft	core	Q = I t
electrons_per_formula_unit	definition	Electrons per formula unit z	faraday	draft	core	z (dimensionless)
charge_mole_electron_bridge	derived_formula	Charge to moles of electrons	faraday	draft	core	Q = z F n
faradays_law_electrolysis	derived_formula	Faraday's law of electrolysis	faraday	draft	core	m = (I t M) / (z F)
