id	type	title	domain	status	knowledge_level	primary_formula
real_numbers	primitive	Real numbers	math	reviewed	foundation	-
complex_numbers	math_definition	Complex numbers	math	reviewed	foundation	z = a + i b
phasor_notation	convention	Phasor / time-harmonic notation	math	reviewed	foundation	q(x,t) = Re[q1(x) e^{i w t}]
derivative	math_definition	Derivative	math	reviewed	foundation	df/dx
partial_derivative	math_definition	Partial derivative	math	reviewed	foundation	df/dx at fixed t
integral	math_definition	Integral	math	reviewed	foundation	int f dx
ordinary_differential_equation	math_definition	Ordinary differential equation	math	reviewed	foundation	-
time_average	math_definition	Cycle time-average	math	reviewed	foundation	<AB> = 1/2 Re[A1 B1*]
SI_units	convention	SI unit system with kelvin	cross_domain	reviewed	foundation	-
dimension_analysis	diagnostic	Dimensional consistency	cross_domain	reviewed	foundation	[LHS]=[RHS]
time	primitive	Time	cross_domain	reviewed	foundation	-
position	primitive	Axial position x	cross_domain	reviewed	foundation	-
mean_pressure	physical_definition	Mean pressure p_m	thermo	reviewed	foundation	-
mean_density	physical_definition	Mean density rho_m	thermo	reviewed	foundation	-
mean_temperature	physical_definition	Mean temperature T_m	thermo	reviewed	foundation	-
velocity_field	physical_definition	Velocity field	fluids	reviewed	foundation	u(x,t)
ideal_gas	assumption	Ideal-gas working fluid	thermo	reviewed	foundation	-
gas_constant_specific	physical_definition	Specific gas constant R	thermo	reviewed	foundation	-
ideal_gas_law	constitutive_relation	Ideal-gas equation of state	thermo	reviewed	core	p = rho R T
specific_heat_cp	physical_definition	Isobaric specific heat c_p	thermo	reviewed	foundation	-
specific_heat_cv	physical_definition	Isochoric specific heat c_v	thermo	reviewed	foundation	-
heat_capacity_ratio	derived_formula	Heat-capacity ratio gamma	thermo	reviewed	core	gamma = c_p / c_v ; c_p - c_v = R
first_law_thermodynamics	principle_law	First law of thermodynamics	thermo	reviewed	core	dU = dQ - dW
second_law_thermodynamics	principle_law	Second law of thermodynamics	thermo	reviewed	core	dS >= dQ / T
entropy	physical_definition	Specific entropy s	thermo	reviewed	foundation	-
adiabatic_process	principle_law	Adiabatic process	thermo	reviewed	foundation	dQ = 0
