id	type	title	area	status	role	primary_statement
symbol	primitive	Symbol	syntax	active	foundation	an element of a fixed countable alphabet
string	primitive	String	syntax	active	foundation	a finite sequence of symbols
finite_sequence	primitive	Finite sequence	syntax	active	foundation	a finite list of objects of one type
inductive_definition	primitive	Inductive definition	syntax	active	foundation	a set given by base and closure clauses, with induction and recursion principles
metatheoretic_induction	primitive	Metatheoretic induction	metatheory	active	foundation	ordinary and strong induction and recursion on the metatheoretic natural numbers
naive_collection	primitive	Naive collection	semantics	active	foundation	informal set-of talk used only in semantic nodes; discharged from above by the set capsule
wff_syntax	definition	Well-formed propositional formula	prop_syntax	reviewed	foundation	atoms closed under the connectives by an inductive definition
true_false_constants	definition	Verum and falsum	prop_syntax	reviewed	support	top as p to p; bottom primitive with ex falso
formula_complexity	definition	Formula complexity measures	prop_syntax	reviewed	support	length and connective-height of a wff, for induction
wff_unique_readability	theorem	Unique readability	prop_syntax	reviewed	core	every wff has exactly one parse; licenses recursion on structure
subformula	definition	Subformula	prop_syntax	reviewed	support	the nodes of a wffs parse tree
structural_induction_wff	theorem	Structural induction on wffs	prop_syntax	reviewed	core	a property holding of atoms and preserved by each connective holds of every wff
recursion_on_wff	theorem	Recursion on wff structure	prop_syntax	reviewed	core	a function on wffs is determined by its atom values and one clause per connective
truth_assignment	definition	Truth assignment	prop_semantics	reviewed	foundation	a function from atoms to true or false
truth_value_recursion	definition	Truth-value recursion	prop_semantics	reviewed	core	the value of a wff under an assignment, by recursion on structure
satisfaction	definition	Satisfaction (propositional)	prop_semantics	reviewed	foundation	v satisfies phi when the truth-value recursion gives true
truth_table	algorithm	Truth table	prop_semantics	reviewed	support	the finite tabulation of a wffs value over all assignments to its atoms
tautology	definition	Tautology	prop_semantics	reviewed	core	true under every truth assignment
contradiction_unsat	definition	Contradiction	prop_semantics	reviewed	support	false under every truth assignment
satisfiability	definition	Satisfiability	prop_semantics	reviewed	core	true under at least one truth assignment
semantic_consequence	definition	Semantic consequence (propositional)	prop_semantics	reviewed	foundation	every assignment satisfying all of Gamma satisfies phi
logical_equivalence	definition	Logical equivalence	prop_semantics	reviewed	core	mutual semantic consequence; same truth value under every assignment
substitution_of_equivalents	theorem	Substitution of equivalents	prop_semantics	reviewed	support	replacing a subformula by an equivalent one preserves equivalence
duality_principle	proposition	Duality principle	prop_semantics	reviewed	support	swapping and-or and true-false and negating atoms negates a wff
tautology_decidable	theorem	Decidability of tautology	prop_semantics	reviewed	core	whether a wff is a tautology is decided by its finite truth table
double_negation	mathematical_identity	Double negation	prop_laws	reviewed	core	not not p is equivalent to p (classically)
de_morgan_prop	mathematical_identity	De Morgan laws (propositional)	prop_laws	reviewed	core	not (p and q) iff not p or not q ; not (p or q) iff not p and not q
distributivity_prop	mathematical_identity	Distributivity	prop_laws	reviewed	support	and over or and or over and
implication_as_disjunction	mathematical_identity	Implication as disjunction	prop_laws	reviewed	core	p to q is equivalent to not p or q (classically)
contraposition	mathematical_identity	Contraposition	prop_laws	reviewed	core	p to q is equivalent to not q to not p
biconditional_as_conjunction	mathematical_identity	Biconditional decomposition	prop_laws	reviewed	support	p iff q is (p to q) and (q to p)
commutativity_associativity_idempotence	mathematical_identity	Commutativity, associativity, idempotence	prop_laws	reviewed	support	and and or are commutative, associative, idempotent
absorption	mathematical_identity	Absorption	prop_laws	reviewed	support	p and (p or q) is p ; p or (p and q) is p
exportation	mathematical_identity	Exportation	prop_laws	reviewed	support	(p and q) to r is equivalent to p to (q to r)
negation_normal_form	theorem	Negation normal form	prop_normal	reviewed	support	every wff is equivalent to one with negation only on atoms
conjunctive_normal_form	theorem	Conjunctive normal form	prop_normal	reviewed	core	every wff is equivalent to a conjunction of clauses
disjunctive_normal_form	theorem	Disjunctive normal form	prop_normal	reviewed	core	every wff is equivalent to a disjunction of terms
dnf_from_truth_table	theorem	DNF from the truth table	prop_normal	reviewed	support	the rows evaluating to true give an explicit equivalent DNF
functional_completeness	theorem	Functional completeness	prop_normal	reviewed	headline	not-and-or expresses every Boolean function
sheffer_stroke	theorem	Sheffer and Peirce	prop_normal	reviewed	support	nand alone, and nor alone, are each functionally complete
binary_boolean_functions_16	example	The sixteen binary connectives	prop_normal	reviewed	support	there are exactly sixteen functions from two bits to one bit
nd_derivation	definition	Natural-deduction derivation	prop_proof	reviewed	foundation	a finite tree of wffs with discharged assumptions
nd_rules_propositional	definition	Propositional ND rules	prop_proof	reviewed	foundation	introduction and elimination rules for each connective, plus bottom-elimination
assumption_discharge	definition	Assumption discharge	prop_proof	reviewed	support	an implication-introduction closes off a temporarily assumed wff
